ID,Tipo,SKU,Nombre,Publicado(0/1),¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Estado del impuesto,Clase de impuesto,¿En inventario? (0/1),Inventario ,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla,Nombre del atributo 2,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla
16010L,variation,,SUDADERA ROSA RECOGIDO EN BOTAS - L,1,,visible,,,taxable,parent,0,0,,,,,,850000,SHORT Y PANTALON,,,,,Talla,L,,,,color,ROSA,,,
13022,variable,,CHOMPA LEOPARDO,1,,visible,,"Chompa en antifluido fondo entero y sublimado en corte, forrado en malla, estampación textil en periila frente y cierre en nylon",taxable,parent,1,,,,,,,,BUZOS Y CHOMPAS,,,13022F/ 13022E/ 13022F2,,Talla,"S,M,L",1,,M,color,EST. LEOPARDO,1,,
13022S,variation,,CHOMPA LEOPARDO - S,1,,visible,,,taxable,parent,1,3,,,,,,115000,BUZOS Y CHOMPAS,,,,,Talla,S,,,,color,EST. LEOPARDO,,,
13022M,variation,,CHOMPA LEOPARDO - M,1,,visible,,,taxable,parent,1,1,,,,,,115000,BUZOS Y CHOMPAS,,,,,Talla,M,,,,color,EST. LEOPARDO,,,
13022L,variation,,CHOMPA LEOPARDO - L,1,,visible,,,taxable,parent,1,3,,,,,,115000,BUZOS Y CHOMPAS,,,,,Talla,L,,,,color,EST. LEOPARDO,,,
16011,variable,,PANTALONETA LEOPARDO,1,,visible,,"Pantaloneta en antifluido fondo entero y sublimado en corte, elastico en cintura y cordón elástico con ajuste en frente",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,16011P/ 16011F/ 16011P2,,Talla,"S,M,L",1,,M,color,EST. LEOPARDO,1,,
16011S,variation,,PANTALONETA LEOPARDO - S,1,,visible,,,taxable,parent,1,3,,,,,,50000,SHORT Y PANTALON,,,,,Talla,S,,,,color,EST. LEOPARDO,,,
16011M,variation,,PANTALONETA LEOPARDO - M ,1,,visible,,,taxable,parent,1,4,,,,,,50000,SHORT Y PANTALON,,,,,Talla,M,,,,color,EST. LEOPARDO,,,
16011L,variation,,PANTALONETA LEOPARDO - L,1,,visible,,,taxable,parent,1,1,,,,,,50000,SHORT Y PANTALON,,,,,Talla,L,,,,color,EST. LEOPARDO,,,
13023,variable,,CHOMPA BEIGE ROSA,1,,visible,,Chompa en perchado con puño en material tejido y estampación textil en frente en contraste de color.,taxable,parent,1,,,,,,,,BUZOS Y CHOMPAS,,,13023F/ 13023FM,,Talla,"S,M,L",1,,M,color,BEIGE,1,,
13023S,variation,,CHOMPA BEIGE ROSA - S,1,,visible,,,taxable,parent,1,1,,,,,,85000,BUZOS Y CHOMPAS,,,,,Talla,S,,,,color,BEIGE,,,
13023M,variation,,CHOMPA BEIGE ROSA - M,1,,visible,,,taxable,parent,1,5,,,,,,85000,BUZOS Y CHOMPAS,,,,,Talla,M,,,,color,BEIGE,,,
13023L,variation,,CHOMPA BEIGE ROSA - L,1,,visible,,,taxable,parent,1,5,,,,,,85000,BUZOS Y CHOMPAS,,,,,Talla,L,,,,color,BEIGE,,,
23001,variable,,CINTURON SINTÉTICO,1,,visible,,"Cinturón en material sintético con estampación en pvc con POLEMIK, hebilla plástica y remaches metálicos.",taxable,parent,1,,,,,,,,ACCESORIOS,,,23001,,Talla,ÚNICA,1,,U,color,"NEGRO, VERDE, ROSA",1,,
23001N,variation,,CINTURON SINTÉTICO NEGRO,1,,visible,,,taxable,parent,1,5,,,,,,35000,ACCESORIOS,,,,,Talla,ÚNICA,,,,color,NEGRO,,,
23001V,variation,,CINTURON SINTÉTICO VERDE,1,,visible,,,taxable,parent,1,5,,,,,,35000,ACCESORIOS,,,,,Talla,ÚNICA,,,,color,VERDE,,,
23001R,variation,,CINTURON SINTÉTICO ROSA,1,,visible,,,taxable,parent,1,5,,,,,,35000,ACCESORIOS,,,,,Talla,ÚNICA,,,,color,ROSA,,,
23002,variable,,CINTURÓN REATA,1,,visible,,"Cinturón en reata con estampación en textil con POLEMIK, hebilla plástica y remaches metálicos.",taxable,parent,1,1,,,,,,28000,ACCESORIOS,,,23002,,Talla,ÚNICA,1,,U,color,NARANJA,1,,
11017,variable,,CROP MALLA CIERRE ESPALDA ,1,,visible,,Crop malla neón con cierre efecto cuero en espalda y estampado alto relieve en frente,taxable,parent,1,,,,,,,,TOPS Y CAMISETAS,,,11017F/ 11017C/ 11017F2/ 11017F3/ 11017F2E,,Talla,"S,M,L",1,,M,color,VERDE NEÓN,1,,
11017S,variation,,CROP MALLA CIERRE ESPALDA - S,1,,visible,,,taxable,parent,1,3,,,,,,65000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,VERDE NEÓN,,,
11017M,variation,,CROP MALLA CIERRE ESPALDA - M,1,,visible,,,taxable,parent,1,5,,,,,,65000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,VERDE NEÓN,,,
11017L,variation,,CROP MALLA CIERRE ESPALDA - L,1,,visible,,,taxable,parent,1,7,,,,,,65000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,VERDE NEÓN,,,
21002,variable,,BODY CUELLO ALTO NEÓN,1,,visible,,Body cuello alto con cierre efecto reflectivo en frente y estampado alto relive punto corazón,taxable,parent,1,,,,,,,,TOPS Y CAMISETAS,,,21002F/ 21002F2,,Talla,"S,M,L",1,,M,color,NARANJA NEÓN,1,,
21002S,variation,,BODY CUELLO ALTO NEÓN - S,1,,visible,,,taxable,parent,1,2,,,,,,60000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,NARANJA NEÓN,,,
21002M,variation,,BODY CUELLO ALTO NEÓN - M,1,,visible,,,taxable,parent,1,5,,,,,,60000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,NARANJA NEÓN,,,
21002L,variation,,BODY CUELLO ALTO NEÓN - L,1,,visible,,,taxable,parent,1,4,,,,,,60000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,NARANJA NEÓN,,,
16012,variable,,SHORT DRILL REATA EN COSTADOS,1,,visible,,"Short en Drill, tiro alto, con reata en costados y bolsillos cargo en posterior, cordon de amarre en cintura.",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,16012C/ 16012F/ 16012F2/ 16012FP/ 16012PP,,Talla,"S,M,L",1,,M,color,NARANJA NEÓN,1,,
16012S,variation,,SHORT DRILL REATA EN COSTADOS - S,1,,visible,,,taxable,parent,1,3,,,,,,75000,SHORT Y PANTALON,,,,,Talla,S,,,,color,NARANJA NEÓN,,,
16012M,variation,,SHORT DRILL REATA EN COSTADOS - M,1,,visible,,,taxable,parent,1,4,,,,,,75000,SHORT Y PANTALON,,,,,Talla,M,,,,color,NARANJA NEÓN,,,
16012L,variation,,SHORT DRILL REATA EN COSTADOS - L,1,,visible,,,taxable,parent,1,3,,,,,,75000,SHORT Y PANTALON,,,,,Talla,L,,,,color,NARANJA NEÓN,,,
13225,variable,,CHOMPA RANGLAN CON REATA AMARILLA ,1,,visible,,"Chompa en perchado con manga ranglan en combinación de color, reata en frente con ajuste en costados",taxable,parent,1,1,,,,,,,BUZOS Y CHOMPAS,,,13225F/ 13225C/ 13225F2/ 13225FP,,Talla,"S,M,L",1,,M,color,GRIS,1,,
13225S,variation,,CHOMPA RANGLAN CON REATA AMARILLA - S,1,,visible,,,taxable,parent,1,2,,,,,,85000,BUZOS Y CHOMPAS,,,,,Talla,S,,,,color,GRIS,,,
13225M,variation,,CHOMPA RANGLAN CON REATA AMARILLA - M,1,,visible,,,taxable,parent,1,1,,,,,,85000,BUZOS Y CHOMPAS,,,,,Talla,M,,,,color,GRIS,,,
13225L,variation,,CHOMPA RANGLAN CON REATA AMARILLA - L,1,,visible,,,taxable,parent,1,2,,,,,,85000,BUZOS Y CHOMPAS,,,,,Talla,L,,,,color,GRIS,,,
16013,variable,,SHORT PERCHADO JASPE-AMARILLO,1,,visible,,"Short en perchado concorte en costado en contraste de color y base de tela, bolsillos en costado y bolsillo de parche en posterior, con elástico en cintura y cordón elástico para ajuste.",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,16013F/ 16013C/ 16013C2/ 16013DP/ 16013PP,,Talla,"S,M,L",1,,M,color,GRIS,1,,
16013S,variation,,SHORT PERCHADO JASPE-AMARILLO - S,1,,visible,,,taxable,parent,1,1,,,,,,55000,SHORT Y PANTALON,,,,,Talla,S,,,,color,GRIS,,,
16013S,variation,,SHORT PERCHADO JASPE-AMARILLO - M,1,,visible,,,taxable,parent,0,0,,,,,,55000,SHORT Y PANTALON,,,,,Talla,M,,,,color,GRIS,,,
16013S,variation,,SHORT PERCHADO JASPE-AMARILLO - L,1,,visible,,,taxable,parent,1,1,,,,,,55000,SHORT Y PANTALON,,,,,Talla,L,,,,color,GRIS,,,
17004,variable,,ENTERIZO CORTO CRUZADO,1,,visible,,"Enterizo en bruda liviana, con frente cruzado y short corto, bolssillo en costados, elástico en cintura  y abertura en costados",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,17004F1/ 17004F2/ 17004C/ 17004F/ 17004FP,,Talla,"S,M,L",1,,M,color,GRIS,1,,
17004S,variation,,ENTERIZO CORTO CRUZADO - S,1,,visible,,,taxable,parent,1,4,,,,,,60000,SHORT Y PANTALON,,,,,Talla,S,,,,color,GRIS,,,
17004M,variation,,ENTERIZO CORTO CRUZADO - M,1,,visible,,,taxable,parent,1,2,,,,,,60000,SHORT Y PANTALON,,,,,Talla,M,,,,color,GRIS,,,
17004L,variation,,ENTERIZO CORTO CRUZADO - L,1,,visible,,,taxable,parent,1,4,,,,,,60000,SHORT Y PANTALON,,,,,Talla,L,,,,color,GRIS,,,
